hose_in,scfm,visc_cP,vol_gal,pre_psi,time_min,peak_gpm,avg_gpm,avg_pressure_psig,time_50pct_min,time_90pct_min,note
2.0,25,500,6500,15,72.940742367326,94.36007030359772,89.04877634409694,15.482264299628195,35.166666666666664,64.03333333333333,
2.0,25,500,6500,20,72.05847479703674,119.4630915302235,90.16402323215443,15.71284412746188,34.3,63.13333333333333,
2.0,25,1000,5000,10,110.83090026380849,48.71153894228204,45.09671055632816,15.210193649845143,53.06666666666667,96.43333333333334,
2.0,25,1000,5000,15,86.35791605491538,61.90577407388051,57.871371811680284,19.878802446438826,41.833333333333336,75.33333333333333,
2.0,25,1000,5000,20,74.6175187145368,70.02952934678115,66.9083352932443,23.231212666044193,36.766666666666666,65.36666666666666,
2.0,25,1000,6500,10,140.22754362943166,50.46537970819912,46.33814478317149,15.327392245473204,66.63333333333334,122.5,
2.0,25,1000,6500,15,109.17965045335977,63.81478625184143,59.50611890652917,20.113928322601122,52.333333333333336,95.6,
2.0,25,1000,6500,20,93.56581195223036,72.05603250163469,69.39727519453112,23.746895759084886,45.56666666666667,82.23333333333333,
2.0,25,2000,5000,10,214.356546965461,25.0650746774845,23.317846472923836,15.475002918390091,102.4,187.03333333333333,
2.0,25,2000,5000,15,165.65567739860774,32.13644267129908,30.172124307051153,20.350647974575864,79.56666666666666,144.6,
2.0,25,2000,5000,20,135.24023475045868,39.14693354828432,36.95258077800434,25.19228110514354,65.2,118.1,
2.0,25,2000,6500,10,,25.9256210380739,,,,,DNF (621 gal left)
2.0,25,2000,6500,15,211.10915714493683,33.01090590134275,30.77904125001403,20.422877967558716,101.1,185.1,
2.0,25,2000,6500,20,172.51652310621017,40.04445095001363,37.664635954617296,25.301261935229434,82.93333333333334,151.33333333333334,
2.0,25,5000,5000,10,,10.15451598838746,,,,,DNF (326 gal left)
2.0,25,5000,5000,15,403.3145566089515,13.05212816513657,12.393684072299981,20.57829949686319,195.13333333333333,355.6666666666667,
